model,dataset,budget,inputId,finalLabel,groundTruth,resolved,correct,finalConfidence,totalPulls,eliminationRound,finalVoteMargin,finalEntropy,numberOfEliminations,numberOfSurvivingCandidates
llama3.1_8b,hatemoderate,75,29541,hate,not_hate,True,False,,222.0,24,,,1,1
llama3.1_8b,hatemoderate,75,14462,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,2935,escalate,not_hate,False,,,225.0,25,0.36000000000000004,0.7145254855459339,0,3
llama3.1_8b,hatemoderate,75,9332,escalate,not_hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,1029,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,13516,escalate,not_hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,19411,hate,not_hate,True,False,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,11490,escalate,not_hate,False,,,225.0,25,0.16,0.42301699036395596,0,3
llama3.1_8b,hatemoderate,75,2977,escalate,not_hate,False,,,225.0,25,0.7999999999999999,0.39704681186759916,0,3
llama3.1_8b,hatemoderate,75,3000,escalate,not_hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,28024,hate,not_hate,True,False,,222.0,24,,,1,1
llama3.1_8b,hatemoderate,75,29118,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,7041,escalate,not_hate,False,,,225.0,25,0.96,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,23916,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,10343,escalate,not_hate,False,,,225.0,25,0.8,0.477737937706723,0,3
llama3.1_8b,hatemoderate,75,7003,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,22349,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,8346,parse_failed,not_hate,False,,,0.0,,,,,
llama3.1_8b,hatemoderate,75,25978,escalate,not_hate,False,,,225.0,25,0.28,0.5142203549607938,0,3
llama3.1_8b,hatemoderate,75,13502,escalate,not_hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,8360,escalate,not_hate,False,,,225.0,25,0.12,0.8612017280592847,0,3
llama3.1_8b,hatemoderate,75,5484,escalate,hate,False,,,225.0,25,0.8,0.2575424759098898,0,3
llama3.1_8b,hatemoderate,75,3640,escalate,hate,False,,,225.0,25,0.32,0.8202797331369228,0,3
llama3.1_8b,hatemoderate,75,7509,escalate,hate,False,,,225.0,25,0.12,0.3670672426864282,0,3
llama3.1_8b,hatemoderate,75,1007,escalate,hate,False,,,225.0,25,0.08,0.29150849518197797,0,3
llama3.1_8b,hatemoderate,75,7099,escalate,hate,False,,,225.0,25,0.039999999999999994,0.6585757378684062,0,3
llama3.1_8b,hatemoderate,75,6663,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,10855,escalate,hate,False,,,222.0,25,0.0,,0,3
llama3.1_8b,hatemoderate,75,27053,escalate,not_hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,17476,escalate,not_hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,14520,escalate,not_hate,False,,,225.0,25,0.88,0.16229362260093616,0,3
llama3.1_8b,hatemoderate,75,22529,not_hate,not_hate,True,True,1.0,147.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,10389,not_hate,not_hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,29667,escalate,not_hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,9323,escalate,not_hate,False,,,225.0,25,0.52,0.7336878516817017,0,3
llama3.1_8b,hatemoderate,75,8508,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,6605,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,3976,escalate,hate,False,,,225.0,26,1.0,-0.0,1,2
llama3.1_8b,hatemoderate,75,10540,escalate,hate,False,,,225.0,25,0.84,0.21129256427661014,0,3
llama3.1_8b,hatemoderate,75,10331,escalate,hate,False,,,225.0,25,0.56,0.7454147196830101,0,3
llama3.1_8b,hatemoderate,75,3988,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,6986,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,3990,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,11117,escalate,hate,False,,,225.0,25,0.0,,0,3
llama3.1_8b,hatemoderate,75,10802,escalate,hate,False,,,225.0,25,0.08,0.29150849518197797,0,3
llama3.1_8b,hatemoderate,75,6350,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,425,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,1721,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,7529,escalate,hate,False,,,225.0,25,0.24,0.4941344853728565,0,3
llama3.1_8b,hatemoderate,75,5764,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,9389,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,10288,escalate,hate,False,,,225.0,25,0.6799999999999999,0.5269847031903259,0,3
llama3.1_8b,hatemoderate,75,11443,escalate,hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,4637,escalate,hate,False,,,225.0,25,0.88,0.16229362260093616,0,3
llama3.1_8b,hatemoderate,75,4372,escalate,hate,False,,,225.0,25,0.16,0.42301699036395596,0,3
llama3.1_8b,hatemoderate,75,4336,escalate,hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,9915,escalate,hate,False,,,225.0,25,0.24,0.4941344853728565,0,3
llama3.1_8b,hatemoderate,75,2461,escalate,hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,3377,escalate,hate,False,,,225.0,25,0.72,0.3412304555993369,0,3
llama3.1_8b,hatemoderate,75,452,escalate,hate,False,,,225.0,25,0.88,0.16229362260093616,0,3
llama3.1_8b,hatemoderate,75,6999,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,12005,escalate,hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,8454,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,11757,escalate,hate,False,,,225.0,25,0.16,0.6501398665684615,0,3
llama3.1_8b,hatemoderate,75,2286,escalate,hate,False,,,225.0,26,1.0,-0.0,1,2
llama3.1_8b,hatemoderate,75,4011,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,7219,escalate,hate,False,,,222.0,25,0.76,0.5336876853842508,0,3
llama3.1_8b,hatemoderate,75,16076,escalate,hate,False,,,225.0,25,0.0,0.7341344853728564,0,3
llama3.1_8b,hatemoderate,75,9136,escalate,hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,442,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,761,escalate,hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,12080,escalate,hate,False,,,225.0,25,0.24,0.4941344853728565,0,3
llama3.1_8b,hatemoderate,75,8163,escalate,hate,False,,,225.0,25,0.48,0.5082689707457129,0,3
llama3.1_8b,hatemoderate,75,11200,escalate,hate,False,,,225.0,25,0.24,0.4941344853728565,0,3
llama3.1_8b,hatemoderate,75,4291,escalate,hate,False,,,225.0,25,0.12,0.3670672426864282,0,3
llama3.1_8b,hatemoderate,75,2792,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,4523,escalate,hate,False,,,225.0,25,0.24,0.4941344853728565,0,3
llama3.1_8b,hatemoderate,75,460,hate,hate,True,True,1.0,222.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,9939,escalate,hate,False,,,222.0,25,0.16,0.42301699036395596,0,3
llama3.1_8b,hatemoderate,75,4224,escalate,hate,False,,,225.0,25,0.08,0.714525485545934,0,3
llama3.1_8b,hatemoderate,75,906,escalate,hate,False,,,225.0,26,0.038461538461538464,0.1807861430054266,1,2
llama3.1_8b,hatemoderate,75,10985,escalate,hate,False,,,225.0,25,0.72,0.48666004160265475,0,3
llama3.1_8b,hatemoderate,75,4525,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,6936,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,11836,escalate,hate,False,,,225.0,25,0.8,0.2575424759098898,0,3
llama3.1_8b,hatemoderate,75,6384,escalate,hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,4046,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,4170,escalate,hate,False,,,225.0,25,0.72,0.48666004160265475,0,3
llama3.1_8b,hatemoderate,75,4228,escalate,hate,False,,,225.0,25,0.4,0.7069010588914572,0,3
llama3.1_8b,hatemoderate,75,9954,escalate,hate,False,,,225.0,25,0.07999999999999999,0.5528214902774172,0,3
llama3.1_8b,hatemoderate,75,4857,escalate,hate,False,,,225.0,26,0.9615384615384616,0.05440723881381483,1,2
llama3.1_8b,hatemoderate,75,5459,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,3793,escalate,hate,False,,,225.0,25,0.68,0.37834747699658194,0,3
llama3.1_8b,hatemoderate,75,742,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,10380,escalate,hate,False,,,222.0,25,0.04000000000000001,0.7900842330503841,0,3
llama3.1_8b,hatemoderate,75,3782,escalate,hate,False,,,219.0,25,0.12,0.3670672426864282,0,3
llama3.1_8b,hatemoderate,75,4866,escalate,hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,6438,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,2471,escalate,hate,False,,,225.0,25,0.84,0.21129256427661014,0,3
llama3.1_8b,hatemoderate,75,11843,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,10046,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,5790,escalate,hate,False,,,225.0,25,0.72,0.3412304555993369,0,3
llama3.1_8b,hatemoderate,75,8174,not_hate,hate,True,False,1.0,222.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,14735,not_hate,hate,True,False,1.0,147.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,8503,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,12155,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,8533,not_hate,hate,True,False,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,7328,hate,hate,True,True,1.0,222.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,10302,escalate,hate,False,,,225.0,25,0.84,0.21129256427661014,0,3
llama3.1_8b,hatemoderate,75,16085,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,5457,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,4824,escalate,hate,False,,,225.0,25,0.72,0.3412304555993369,0,3
llama3.1_8b,hatemoderate,75,3784,escalate,hate,False,,,225.0,25,0.32,0.5260339807279119,0,3
llama3.1_8b,hatemoderate,75,6633,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,7229,escalate,hate,False,,,225.0,25,0.6799999999999999,0.5269847031903259,0,3
llama3.1_8b,hatemoderate,75,8796,escalate,hate,False,,,225.0,25,0.52,0.6541949575125765,0,3
llama3.1_8b,hatemoderate,75,4156,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,10933,escalate,hate,False,,,225.0,25,0.08,0.29150849518197797,0,3
llama3.1_8b,hatemoderate,75,313,escalate,hate,False,,,225.0,25,0.64,0.4120679614558238,0,3
llama3.1_8b,hatemoderate,75,10861,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,7129,escalate,hate,False,,,225.0,25,0.039999999999999994,0.6585757378684062,0,3
llama3.1_8b,hatemoderate,75,1770,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,5507,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,9617,escalate,hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,7518,escalate,hate,False,,,225.0,25,0.07999999999999999,0.5528214902774172,0,3
llama3.1_8b,hatemoderate,75,10533,escalate,hate,False,,,225.0,25,0.07999999999999999,0.5528214902774172,0,3
llama3.1_8b,hatemoderate,75,11492,not_hate,hate,True,False,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,3797,escalate,hate,False,,,225.0,25,0.12,0.6087712379549449,0,3
llama3.1_8b,hatemoderate,75,69,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,9659,escalate,hate,False,,,225.0,25,0.0,0.7341344853728564,0,3
llama3.1_8b,hatemoderate,75,11122,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,9188,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,1005,escalate,hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,16266,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,4127,hate,hate,True,True,1.0,222.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,2270,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,11123,escalate,hate,False,,,225.0,25,0.88,0.16229362260093616,0,3
llama3.1_8b,hatemoderate,75,1855,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,5165,escalate,hate,False,,,225.0,25,0.44,0.5211468113004681,0,3
llama3.1_8b,hatemoderate,75,11821,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,7259,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,9689,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,10093,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,8411,escalate,hate,False,,,225.0,26,1.0,-0.0,1,2
llama3.1_8b,hatemoderate,75,9476,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,5157,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,7083,escalate,hate,False,,,225.0,25,0.68,0.37834747699658194,0,3
llama3.1_8b,hatemoderate,75,5776,escalate,hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,6050,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,6126,escalate,hate,False,,,225.0,25,0.19999999999999998,0.6798887329638454,0,3
llama3.1_8b,hatemoderate,75,1598,escalate,hate,False,,,225.0,25,0.2,0.46438561897747244,0,3
llama3.1_8b,hatemoderate,75,7953,escalate,hate,False,,,225.0,25,0.28,0.5142203549607938,0,3
llama3.1_8b,hatemoderate,75,3751,hate,hate,True,True,1.0,147.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,3704,escalate,hate,False,,,225.0,25,0.36,0.5306152277996684,0,3
llama3.1_8b,hatemoderate,75,627,escalate,hate,False,,,225.0,25,0.64,0.4120679614558238,0,3
llama3.1_8b,hatemoderate,75,11450,escalate,hate,False,,,225.0,25,0.12,0.6087712379549449,0,3
llama3.1_8b,hatemoderate,75,4662,escalate,hate,False,,,225.0,25,0.08000000000000002,0.8314528616639006,0,3
llama3.1_8b,hatemoderate,75,4021,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,1546,escalate,hate,False,,,225.0,25,0.4,0.5287712379549449,0,3
llama3.1_8b,hatemoderate,75,6483,escalate,hate,False,,,225.0,25,0.16,0.6501398665684615,0,3
llama3.1_8b,hatemoderate,75,6658,escalate,hate,False,,,225.0,25,0.16,0.42301699036395596,0,3
llama3.1_8b,hatemoderate,75,6493,escalate,hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,7234,hate,hate,True,True,1.0,72.0,24,1.0,-0.0,1,1
llama3.1_8b,hatemoderate,75,4965,escalate,hate,False,,,225.0,25,0.84,0.21129256427661014,0,3
llama3.1_8b,hatemoderate,75,6125,escalate,hate,False,,,225.0,25,0.16000000000000003,1.0211917930491574,0,3
llama3.1_8b,hatemoderate,75,6976,escalate,hate,False,,,225.0,25,0.56,0.4684407099215875,0,3
llama3.1_8b,hatemoderate,75,10573,escalate,hate,False,,,222.0,24,0.0,,1,1
llama3.1_8b,hatemoderate,75,10274,escalate,hate,False,,,219.0,24,0.0,,1,1
llama3.1_8b,hatemoderate,75,6631,escalate,hate,False,,,225.0,25,0.15999999999999998,0.7856429805548344,0,3
llama3.1_8b,hatemoderate,75,8189,escalate,hate,False,,,225.0,25,0.32,0.5260339807279119,0,3
llama3.1_8b,hatemoderate,75,5464,escalate,hate,False,,,225.0,25,0.04000000000000001,0.7900842330503841,0,3
llama3.1_8b,hatemoderate,75,9788,escalate,hate,False,,,225.0,26,1.0,-0.0,1,2
llama3.1_8b,hatemoderate,75,2529,escalate,hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,6113,escalate,hate,False,,,225.0,25,0.8,0.2575424759098898,0,3
llama3.1_8b,hatemoderate,75,8757,escalate,hate,False,,,225.0,25,0.36,0.5306152277996684,0,3
llama3.1_8b,hatemoderate,75,4818,escalate,hate,False,,,225.0,25,0.92,0.11067069502029483,0,3
llama3.1_8b,hatemoderate,75,2760,escalate,hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,7050,escalate,hate,False,,,225.0,25,0.15999999999999998,0.7856429805548344,0,3
llama3.1_8b,hatemoderate,75,2017,escalate,not_hate,False,,,219.0,25,0.0,0.371508495181978,0,3
