model,dataset,budget,feature,nCorrect,meanCorrect,medianCorrect,stdCorrect,q25Correct,q75Correct,nIncorrect,meanIncorrect,medianIncorrect,stdIncorrect,q25Incorrect,q75Incorrect,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
llama3.1_8b,hatemoderate,100,numberOfEliminations,144,1.3541666666666667,1.0,0.479929336290425,1.0,2.0,51,1.411764705882353,1.0,0.4970501217477084,1.0,2.0,3460.5,0.4661036691998607,0.05759803921568629
llama3.1_8b,hatemoderate,100,numberOfSurvivingCandidates,144,1.0,1.0,0.0,1.0,1.0,51,1.0,1.0,0.0,1.0,1.0,3672.0,1.0,0.0
llama3.1_8b,hatemoderate,124,finalConfidence,114,0.9708834176337293,1.0,0.03947025751571221,0.9436293436293436,1.0,51,0.9603006887864286,0.9655172413793104,0.036420278128629996,0.9374389051808407,1.0,3474.0,0.033704990922397,-0.195046439628483
llama3.1_8b,hatemoderate,124,totalPulls,165,128.3939393939394,82.0,81.69497827431137,72.0,196.0,68,171.88235294117646,95.0,117.65361878111308,75.0,324.5,4383.0,0.007364099621332554,0.21871657754010698
llama3.1_8b,hatemoderate,124,eliminationRound,165,28.35151515151515,26.0,6.068517378909176,24.0,31.0,68,29.602941176470587,27.5,5.874660246466473,24.0,33.0,4720.0,0.047212988166846395,0.15864527629233516
llama3.1_8b,hatemoderate,124,finalVoteMargin,114,0.9642655597840792,1.0,0.04973825571398123,0.9364613880742912,1.0,51,0.9555377334247688,0.9615384615384616,0.0420669406064638,0.9310344827586208,1.0,3407.0,0.06234965988231203,-0.17199862401100785
llama3.1_8b,hatemoderate,124,finalEntropy,114,0.0677731688512736,0.0,0.10792914270861587,0.0,0.09000787556515458,51,0.07540878263071135,0.05440723881381483,0.08753136668805622,-0.0,0.10709260619507725,2433.5,0.0776390046875631,0.1628826969384245
llama3.1_8b,hatemoderate,124,numberOfEliminations,165,1.393939393939394,1.0,0.4901091179768243,1.0,2.0,68,1.5,1.5,0.5037175233040658,1.0,2.0,5015.0,0.13769515331205312,0.10606060606060608
llama3.1_8b,hatemoderate,124,numberOfSurvivingCandidates,165,1.0,1.0,0.0,1.0,1.0,68,1.0,1.0,0.0,1.0,1.0,5610.0,1.0,0.0
llama3.1_8b,aegis,75,finalConfidence,67,1.0,1.0,0.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,167.5,1.0,0.0
llama3.1_8b,aegis,75,totalPulls,95,108.3157894736842,72.0,58.77386580132197,72.0,147.0,8,118.875,72.0,68.70940359846783,72.0,165.75,350.0,0.6556023139017887,0.07894736842105265
llama3.1_8b,aegis,75,eliminationRound,95,24.0,24.0,0.0,24.0,24.0,8,24.0,24.0,0.0,24.0,24.0,380.0,1.0,0.0
llama3.1_8b,aegis,75,finalVoteMargin,67,1.0,1.0,0.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,167.5,1.0,0.0
llama3.1_8b,aegis,75,finalEntropy,67,0.0,0.0,0.0,-0.0,-0.0,5,0.0,0.0,0.0,0.0,0.0,167.5,1.0,0.0
llama3.1_8b,aegis,75,numberOfEliminations,95,1.0,1.0,0.0,1.0,1.0,8,1.0,1.0,0.0,1.0,1.0,380.0,1.0,0.0
llama3.1_8b,aegis,75,numberOfSurvivingCandidates,95,1.0,1.0,0.0,1.0,1.0,8,1.0,1.0,0.0,1.0,1.0,380.0,1.0,0.0
llama3.1_8b,aegis,100,finalConfidence,121,0.9782816893785005,1.0,0.029878783441864974,0.9615384615384616,1.0,9,0.979402253595802,1.0,0.025730341031150263,0.9615384615384616,1.0,551.5,0.9468037821004951,-0.012855831037649201
llama3.1_8b,aegis,100,totalPulls,165,107.27272727272727,78.0,70.98096306416693,72.0,92.0,13,119.76923076923077,78.0,69.10156033712727,72.0,176.0,951.0,0.48075588234404554,0.11328671328671325
llama3.1_8b,aegis,100,eliminationRound,165,26.793939393939393,26.0,3.6484159103426097,24.0,29.0,13,27.923076923076923,26.0,4.627121827903001,24.0,31.0,926.5,0.38674733890531354,0.13613053613053616
llama3.1_8b,aegis,100,finalVoteMargin,121,0.9782816893785005,1.0,0.029878783441864974,0.9615384615384616,1.0,9,0.979402253595802,1.0,0.025730341031150263,0.9615384615384616,1.0,551.5,0.9468037821004951,-0.012855831037649201
llama3.1_8b,aegis,100,finalEntropy,121,0.030329183586766263,0.0,0.04137070373099987,0.0,0.05440723881381483,9,0.028972783801118823,0.0,0.03611049473727743,0.0,0.05440723881381483,537.5,0.9468037821004951,0.012855831037649201
llama3.1_8b,aegis,100,numberOfEliminations,165,1.3515151515151516,1.0,0.4788968599948576,1.0,2.0,13,1.5384615384615385,2.0,0.5188745216627707,1.0,2.0,872.0,0.18001239304128636,0.186946386946387
llama3.1_8b,aegis,100,numberOfSurvivingCandidates,165,1.0,1.0,0.0,1.0,1.0,13,1.0,1.0,0.0,1.0,1.0,1072.5,1.0,0.0
llama3.1_8b,aegis,124,finalConfidence,137,0.9678692732795438,1.0,0.04273719114466029,0.9393939393939394,1.0,12,0.9693846861950309,0.9827586206896552,0.03878038216639108,0.956002331002331,1.0,832.5,0.939493897968306,-0.012773722627737127
llama3.1_8b,aegis,124,totalPulls,182,115.12087912087912,78.0,87.67605305832295,72.0,96.75,17,135.7058823529412,92.0,99.46278494107881,72.0,121.0,1348.0,0.3681710728723703,0.1286360698125404
llama3.1_8b,aegis,124,eliminationRound,182,28.86813186813187,26.0,5.846486958034759,24.0,31.0,17,29.41176470588235,29.0,5.990188055576926,24.0,33.0,1443.5,0.6383666904039206,0.06690368455074336
llama3.1_8b,aegis,124,finalVoteMargin,137,0.9678692732795438,1.0,0.04273719114466029,0.9393939393939394,1.0,12,0.9693846861950309,0.9827586206896552,0.03878038216639108,0.956002331002331,1.0,832.5,0.939493897968306,-0.012773722627737127
llama3.1_8b,aegis,124,finalEntropy,137,0.04422435225224993,0.0,0.05790157402569246,0.0,0.08473127509451281,12,0.04244617948703563,0.024440173206191424,0.05314105374915018,-0.0,0.06198824788398932,811.5,0.939493897968306,0.012773722627737238
llama3.1_8b,aegis,124,numberOfEliminations,182,1.489010989010989,1.0,0.5012582068493474,1.0,2.0,17,1.588235294117647,2.0,0.5072996561958923,1.0,2.0,1393.5,0.43657252718743356,0.09922430510665803
llama3.1_8b,aegis,124,numberOfSurvivingCandidates,182,1.0,1.0,0.0,1.0,1.0,17,1.0,1.0,0.0,1.0,1.0,1547.0,1.0,0.0
qwen2.5_7b,hatemoderate,75,finalConfidence,110,1.0,1.0,0.0,1.0,1.0,74,1.0,1.0,0.0,1.0,1.0,4070.0,1.0,0.0
qwen2.5_7b,hatemoderate,75,totalPulls,151,88.88741721854305,72.0,43.45013126890146,72.0,72.0,99,87.9090909090909,72.0,43.22085921883205,72.0,72.0,7572.0,0.7734781871004546,-0.01304435079269517
qwen2.5_7b,hatemoderate,75,eliminationRound,151,24.0,24.0,0.0,24.0,24.0,99,24.0,24.0,0.0,24.0,24.0,7474.5,1.0,0.0
qwen2.5_7b,hatemoderate,75,finalVoteMargin,110,1.0,1.0,0.0,1.0,1.0,74,1.0,1.0,0.0,1.0,1.0,4070.0,1.0,0.0
qwen2.5_7b,hatemoderate,75,finalEntropy,110,0.0,0.0,0.0,0.0,-0.0,74,0.0,0.0,0.0,0.0,-0.0,4070.0,1.0,0.0
qwen2.5_7b,hatemoderate,75,numberOfEliminations,151,1.0,1.0,0.0,1.0,1.0,99,1.0,1.0,0.0,1.0,1.0,7474.5,1.0,0.0
qwen2.5_7b,hatemoderate,75,numberOfSurvivingCandidates,151,1.0,1.0,0.0,1.0,1.0,99,1.0,1.0,0.0,1.0,1.0,7474.5,1.0,0.0
qwen2.5_7b,hatemoderate,100,finalConfidence,124,0.9939481258034131,1.0,0.018665854585784694,1.0,1.0,84,0.9966628860836709,1.0,0.013183738282365775,1.0,1.0,4981.5,0.2995296834028398,0.043490783410138234
qwen2.5_7b,hatemoderate,100,totalPulls,170,87.94117647058823,72.0,46.45143877522203,72.0,72.0,114,93.75438596491227,72.0,59.755928561877354,72.0,75.0,9576.5,0.8265858449691781,0.011713106295149656
qwen2.5_7b,hatemoderate,100,eliminationRound,170,25.023529411764706,24.0,2.4250979146375786,24.0,24.0,114,25.157894736842106,24.0,2.747739046002696,24.0,24.0,9657.0,0.946436498132705,0.0034055727554179738
qwen2.5_7b,hatemoderate,100,finalVoteMargin,124,0.9936379521061425,1.0,0.01888277252260187,1.0,1.0,84,0.9958948369285251,1.0,0.016380573338783167,1.0,1.0,4951.0,0.2493389051567244,0.049347158218125964
qwen2.5_7b,hatemoderate,100,finalEntropy,124,0.009906315693838501,0.0,0.03017320211922574,-0.0,0.0,84,0.007716621327325701,0.0,0.036955744129655535,-0.0,0.0,5466.5,0.24659336845371305,-0.04963517665130568
qwen2.5_7b,hatemoderate,100,numberOfEliminations,170,1.1647058823529413,1.0,0.3720106514836157,1.0,1.0,114,1.1842105263157894,1.0,0.3893672987547151,1.0,1.0,9501.0,0.6711669831160744,0.019504643962848345
qwen2.5_7b,hatemoderate,100,numberOfSurvivingCandidates,170,1.0,1.0,0.0,1.0,1.0,114,1.0,1.0,0.0,1.0,1.0,9690.0,1.0,0.0
qwen2.5_7b,hatemoderate,124,finalConfidence,130,0.9885236557653273,1.0,0.028168987732003305,1.0,1.0,89,0.9887509413645531,1.0,0.029560899478972703,1.0,1.0,5727.5,0.8512194894538866,0.009939498703543603
qwen2.5_7b,hatemoderate,124,totalPulls,177,95.10734463276836,72.0,64.14334800645462,72.0,76.0,120,104.06666666666666,72.0,77.56674906313974,72.0,76.5,10477.5,0.8055807423049041,0.013418079096045199
qwen2.5_7b,hatemoderate,124,eliminationRound,177,26.005649717514125,24.0,4.689806614472551,24.0,24.0,120,26.166666666666668,24.0,4.83045891539648,24.0,24.0,10579.5,0.941573643901216,0.003813559322033866
qwen2.5_7b,hatemoderate,124,finalVoteMargin,130,0.9875857431032767,1.0,0.03098025311047712,1.0,1.0,89,0.9874258164439225,1.0,0.03288848555905289,1.0,1.0,5732.5,0.8641380425687765,0.00907519446845284
qwen2.5_7b,hatemoderate,124,finalEntropy,130,0.02059147060411759,0.0,0.056246883448364364,0.0,-0.0,89,0.020603418715128323,0.0,0.06015365668514119,0.0,0.0,5842.0,0.8525103126708035,-0.009853068280034627
qwen2.5_7b,hatemoderate,124,numberOfEliminations,177,1.1807909604519775,1.0,0.3859366503710686,1.0,1.0,120,1.2083333333333333,1.0,0.407819232762071,1.0,1.0,10327.5,0.5555672484296115,0.02754237288135597
qwen2.5_7b,hatemoderate,124,numberOfSurvivingCandidates,177,1.0,1.0,0.0,1.0,1.0,120,1.0,1.0,0.0,1.0,1.0,10620.0,1.0,0.0
qwen2.5_7b,aegis,75,finalConfidence,165,1.0,1.0,0.0,1.0,1.0,21,1.0,1.0,0.0,1.0,1.0,1732.5,1.0,0.0
qwen2.5_7b,aegis,75,totalPulls,222,91.20270270270271,72.0,46.73589405978368,72.0,72.0,29,107.89655172413794,72.0,64.77342093106786,72.0,72.0,2916.0,0.20517893409016907,0.09412861136999073
qwen2.5_7b,aegis,75,eliminationRound,222,24.0,24.0,0.0,24.0,24.0,29,24.0,24.0,0.0,24.0,24.0,3219.0,1.0,0.0
qwen2.5_7b,aegis,75,finalVoteMargin,165,1.0,1.0,0.0,1.0,1.0,21,1.0,1.0,0.0,1.0,1.0,1732.5,1.0,0.0
qwen2.5_7b,aegis,75,finalEntropy,165,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,1732.5,1.0,0.0
qwen2.5_7b,aegis,75,numberOfEliminations,222,1.0,1.0,0.0,1.0,1.0,29,1.0,1.0,0.0,1.0,1.0,3219.0,1.0,0.0
qwen2.5_7b,aegis,75,numberOfSurvivingCandidates,222,1.0,1.0,0.0,1.0,1.0,29,1.0,1.0,0.0,1.0,1.0,3219.0,1.0,0.0
qwen2.5_7b,aegis,100,finalConfidence,173,0.9965466771841228,1.0,0.01433661377974048,1.0,1.0,21,0.9981684981684981,1.0,0.008392995778307393,1.0,1.0,1786.5,0.7712097089121855,0.01651527663088359
qwen2.5_7b,aegis,100,totalPulls,234,90.83760683760684,72.0,51.66680262817711,72.0,72.0,32,113.625,72.0,73.50959998750218,72.0,112.75,3183.5,0.045813398701119466,0.14970619658119655
qwen2.5_7b,aegis,100,eliminationRound,234,24.615384615384617,24.0,2.176133334426996,24.0,24.0,32,25.0625,24.0,2.270959723226312,24.0,24.5,3216.5,0.022279064533719257,0.14089209401709402
qwen2.5_7b,aegis,100,finalVoteMargin,173,0.996347354879957,1.0,0.014995109596659359,1.0,1.0,21,0.9963369963369964,1.0,0.011568946298427652,1.0,1.0,1870.0,0.6147756513483218,-0.029452243325075678
qwen2.5_7b,aegis,100,finalEntropy,173,0.005790560269995069,0.0,0.025400683740861074,0.0,0.0,21,0.011199684848535306,0.0,0.040626152527211655,0.0,0.0,1756.5,0.5720831672415787,0.03303055326176718
qwen2.5_7b,aegis,100,numberOfEliminations,234,1.0854700854700854,1.0,0.2801792673415742,1.0,1.0,32,1.1875,1.0,0.39655776945626603,1.0,1.0,3362.0,0.06920600874193564,0.1020299145299145
qwen2.5_7b,aegis,100,numberOfSurvivingCandidates,234,1.0,1.0,0.0,1.0,1.0,32,1.0,1.0,0.0,1.0,1.0,3744.0,1.0,0.0
qwen2.5_7b,aegis,124,finalConfidence,179,0.991632281551907,1.0,0.02339538913206167,1.0,1.0,21,1.0,1.0,0.0,1.0,1.0,1617.0,0.06915469124571444,0.13966480446927376
qwen2.5_7b,aegis,124,totalPulls,243,96.75720164609054,72.0,63.570897328716214,72.0,72.0,32,116.53125,72.0,78.29884206905514,72.0,132.25,3409.0,0.13303100853070376,0.12319958847736623
qwen2.5_7b,aegis,124,eliminationRound,243,25.522633744855966,24.0,4.21558771840699,24.0,24.0,32,25.3125,24.0,3.1565344410317073,24.0,24.5,3603.0,0.3048975663255463,0.07330246913580252
qwen2.5_7b,aegis,124,finalVoteMargin,179,0.9914396404422943,1.0,0.023732746699289833,1.0,1.0,21,1.0,1.0,0.0,1.0,1.0,1617.0,0.06915500717720291,0.13966480446927376
qwen2.5_7b,aegis,124,finalEntropy,179,0.012551585469770976,0.0,0.0355085150753934,-0.0,-0.0,21,0.0,0.0,0.0,0.0,0.0,2142.0,0.06915500717720291,-0.13966480446927365
qwen2.5_7b,aegis,124,numberOfEliminations,243,1.1358024691358024,1.0,0.3432857670296248,1.0,1.0,32,1.25,1.0,0.43994134506405985,1.0,1.25,3444.0,0.0891515452319189,0.11419753086419748
qwen2.5_7b,aegis,124,numberOfSurvivingCandidates,243,1.0,1.0,0.0,1.0,1.0,32,1.0,1.0,0.0,1.0,1.0,3888.0,1.0,0.0
mistral_7b,hatemoderate,75,finalConfidence,82,1.0,1.0,0.0,1.0,1.0,69,1.0,1.0,0.0,1.0,1.0,2829.0,1.0,0.0
mistral_7b,hatemoderate,75,totalPulls,100,72.0,72.0,0.0,72.0,72.0,83,74.71084337349397,72.0,18.318010676208964,72.0,72.0,4050.0,0.12143534260170806,0.02409638554216864
mistral_7b,hatemoderate,75,eliminationRound,100,24.0,24.0,0.0,24.0,24.0,83,24.0,24.0,0.0,24.0,24.0,4150.0,1.0,0.0
mistral_7b,hatemoderate,75,finalVoteMargin,82,1.0,1.0,0.0,1.0,1.0,69,1.0,1.0,0.0,1.0,1.0,2829.0,1.0,0.0
mistral_7b,hatemoderate,75,finalEntropy,82,0.0,0.0,0.0,0.0,-0.0,69,0.0,0.0,0.0,0.0,0.0,2829.0,1.0,0.0
mistral_7b,hatemoderate,75,numberOfEliminations,100,1.0,1.0,0.0,1.0,1.0,83,1.0,1.0,0.0,1.0,1.0,4150.0,1.0,0.0
mistral_7b,hatemoderate,75,numberOfSurvivingCandidates,100,1.0,1.0,0.0,1.0,1.0,83,1.0,1.0,0.0,1.0,1.0,4150.0,1.0,0.0
mistral_7b,hatemoderate,100,finalConfidence,100,0.9941900131755527,1.0,0.015772161009485364,1.0,1.0,86,0.9931681079868989,1.0,0.01949678562723773,1.0,1.0,4304.0,0.9869023669324546,-0.0009302325581395099
mistral_7b,hatemoderate,100,totalPulls,128,80.1328125,72.0,30.17909040278335,72.0,72.0,106,76.78301886792453,72.0,22.383669522127757,72.0,72.0,6880.0,0.8017786266226694,-0.014150943396226356
mistral_7b,hatemoderate,100,eliminationRound,128,25.0859375,24.0,2.6532622729342794,24.0,24.0,106,25.150943396226417,24.0,2.506344151605942,24.0,24.0,6742.0,0.912430571065124,0.006191037735849059
mistral_7b,hatemoderate,100,finalVoteMargin,100,0.9941900131755527,1.0,0.015772161009485364,1.0,1.0,86,0.9931681079868989,1.0,0.01949678562723773,1.0,1.0,4304.0,0.9869023669324546,-0.0009302325581395099
mistral_7b,hatemoderate,100,finalEntropy,100,0.008176440782493749,0.0,0.02214645409382356,-0.0,0.0,86,0.009544324299158477,0.0,0.027113801486825972,0.0,-0.0,4296.0,0.9869023669324546,0.0009302325581395099
mistral_7b,hatemoderate,100,numberOfEliminations,128,1.125,1.0,0.3320184038158743,1.0,1.0,106,1.1415094339622642,1.0,0.3502020979862374,1.0,1.0,6672.0,0.7125899103522179,0.01650943396226412
mistral_7b,hatemoderate,100,numberOfSurvivingCandidates,128,1.0,1.0,0.0,1.0,1.0,106,1.0,1.0,0.0,1.0,1.0,6784.0,1.0,0.0
mistral_7b,hatemoderate,124,finalConfidence,107,0.9872375818213112,1.0,0.028403519501994445,1.0,1.0,89,0.9915736563272527,1.0,0.021708504339737037,1.0,1.0,4474.5,0.2776897329227437,0.060275123385487794
mistral_7b,hatemoderate,124,totalPulls,136,82.42647058823529,72.0,32.234242743218864,72.0,78.0,110,78.15454545454546,72.0,28.384382048706033,72.0,76.0,7853.0,0.3966921243915902,-0.04986631016042775
mistral_7b,hatemoderate,124,eliminationRound,136,26.080882352941178,24.0,4.212952069702692,24.0,26.0,110,25.645454545454545,24.0,3.6738260026728176,24.0,26.0,7725.0,0.5757979180524395,-0.03275401069518713
mistral_7b,hatemoderate,124,finalVoteMargin,107,0.9872375818213112,1.0,0.028403519501994445,1.0,1.0,89,0.9915736563272527,1.0,0.021708504339737037,1.0,1.0,4474.5,0.2776897329227437,0.060275123385487794
mistral_7b,hatemoderate,124,finalEntropy,107,0.01769681105367028,0.0,0.03905936214224347,-0.0,-0.0,89,0.011760005627220937,0.0,0.030192993079293864,0.0,0.0,5048.5,0.2776897329227437,-0.06027512338548768
mistral_7b,hatemoderate,124,numberOfEliminations,136,1.1985294117647058,1.0,0.40036747825848545,1.0,1.0,110,1.209090909090909,1.0,0.4085205921719538,1.0,1.0,7401.0,0.8391687055475069,0.010561497326203262
mistral_7b,hatemoderate,124,numberOfSurvivingCandidates,136,1.0,1.0,0.0,1.0,1.0,110,1.0,1.0,0.0,1.0,1.0,7480.0,1.0,0.0
