task,scope,feature,nPositive,nNegative,auroc,auprc
resolution,llama3.1_8b/aegis,eliminationRound,480,697,0.27674856527977043,
resolution,llama3.1_8b/aegis,finalVoteMargin,351,543,0.9779845010047589,
resolution,llama3.1_8b/aegis,finalEntropy,351,478,0.02622811095614443,
resolution,llama3.1_8b/aegis,numberOfEliminations,480,697,0.8480392156862745,
resolution,llama3.1_8b/aegis,numberOfSurvivingCandidates,480,697,0.09540889526542325,
resolution,qwen2.5_7b/hatemoderate,finalConfidence,611,0,,
resolution,qwen2.5_7b/hatemoderate,totalPulls,831,369,0.08894824206966498,
resolution,qwen2.5_7b/hatemoderate,eliminationRound,831,350,0.1304057074093175,
resolution,qwen2.5_7b/hatemoderate,finalVoteMargin,611,270,0.9872643510941383,
resolution,qwen2.5_7b/hatemoderate,finalEntropy,611,230,0.017394862306980716,
resolution,qwen2.5_7b/hatemoderate,numberOfEliminations,831,350,0.8184339006360667,
resolution,qwen2.5_7b/hatemoderate,numberOfSurvivingCandidates,831,350,0.1,
resolution,qwen2.5_7b/aegis,finalConfidence,580,0,,
resolution,qwen2.5_7b/aegis,totalPulls,792,408,0.17185952663893841,
resolution,qwen2.5_7b/aegis,eliminationRound,792,358,0.28564626714068053,
resolution,qwen2.5_7b/aegis,finalVoteMargin,580,279,0.9994005685329378,
resolution,qwen2.5_7b/aegis,finalEntropy,580,125,0.002503448275862069,
resolution,qwen2.5_7b/aegis,numberOfEliminations,792,358,0.6161298741606004,
resolution,qwen2.5_7b/aegis,numberOfSurvivingCandidates,792,358,0.31843575418994413,
resolution,mistral_7b/hatemoderate,finalConfidence,533,0,,
resolution,mistral_7b/hatemoderate,totalPulls,663,537,0.020003876066971696,
resolution,mistral_7b/hatemoderate,eliminationRound,663,531,0.46033267718212884,
resolution,mistral_7b/hatemoderate,finalVoteMargin,533,407,0.9980546809815103,
resolution,mistral_7b/hatemoderate,finalEntropy,533,112,0.0072701688555347095,
resolution,mistral_7b/hatemoderate,numberOfEliminations,663,531,0.6074596722652555,
resolution,mistral_7b/hatemoderate,numberOfSurvivingCandidates,663,531,0.3935969868173258,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,finalConfidence,2463,0,,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,totalPulls,3319,2681,0.08424245516444322,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,eliminationRound,3319,2582,0.24759996256560063,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,finalVoteMargin,2463,2063,0.9885348233841464,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,finalEntropy,2463,1498,0.019235011955309744,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,numberOfEliminations,3319,2582,0.7811775569106725,
resolution,AGGREGATE_POOLED_ACROSS_5_PAIRS,numberOfSurvivingCandidates,3319,2582,0.1717660728117738,
